country,continent,confirmed,death,recover,active,serious,total_cases_per_1m_population,total_deaths_per_1m_population,population
Afghanistan,Asia,179267,7690,162202,9375,1124,4420,190,40560636
Albania,Europe,275574,3497,271826,251,2,95954,1218,2871945
Algeria,Africa,265816,6875,178371,80570,6,5865,152,45325517
Andorra,Europe,42156,153,41021,982,14,543983,1974,77495
Angola,Africa,99194,1900,97149,145,,2853,55,34769277
Anguilla,North America,2984,9,2916,59,4,195646,590,15252
Antigua And Barbuda,North America,7721,137,7511,73,1,77646,1378,99439
Argentina,South America,9101319,128729,8895999,76591,372,197992,2800,45968174
Armenia,Asia,422896,8623,412048,2225,,142219,2900,2973558
Aruba,North America,35693,213,35199,281,,331689,1979,107610
Australia,Australia/Oceania,6593795,7794,6199822,386179,129,253112,299,26050899
Austria,Europe,4212492,18303,4135885,58304,58,462804,2011,9102106
Azerbaijan,Asia,792638,9709,782869,60,,76885,942,10309383
Bahamas,North America,33871,801,32488,582,,84626,2001,400242
Bahrain,Asia,576997,1479,569758,5760,4,318491,816,1811659
Bangladesh,Asia,1953012,29127,1899419,24466,1273,11643,174,167745162
Barbados,North America,76261,433,71497,4331,,264768,1503,288030
Belarus,Europe,982867,6978,,,,104078,739,9443535
Belgium,Europe,4116397,31613,3941350,143434,117,352324,2706,11683561
Belize,North America,57896,676,56761,459,6,140843,1644,411069
Benin,Africa,26952,163,25506,1283,5,2120,13,12714341
Bermuda,North America,14135,135,13664,336,,228537,2183,61850
Bhutan,Asia,59570,21,59491,58,,75651,27,787432
Bolivia,South America,906146,21943,863665,20538,220,75704,1833,11969554
Bosnia And Herzegovina,Europe,377511,15778,,,,116414,4866,3242823
Botswana,Africa,306324,2690,303026,608,1,125541,1102,2440037
Brazil,South America,30682094,664920,29718402,298772,8318,142460,3087,215373503
British Virgin Islands,North America,6573,62,,,1,214762,2026,30606
Brunei Darussalam,Asia,144659,220,142788,1651,,324871,494,445281
Bulgaria,Europe,1161504,37045,1014302,110157,54,169536,5407,6851060
Burkina Faso,Africa,20853,382,20439,32,,949,17,21970296
Burundi,Africa,41235,38,,,,3286,3,12549999
Cabo Verde,Africa,56105,401,55613,91,23,98910,707,567234
Cambodia,Asia,136262,3056,133194,12,,7945,178,17149867
Cameroon,Africa,119780,1927,117791,62,13,4312,69,27776053
Canada,North America,3821346,40228,3499564,281554,423,99622,1049,38358465
Caribbean Netherlands,North America,9915,35,9829,51,,371668,1312,26677
Cayman Islands,North America,23578,28,8553,14997,1,351077,417,67159
Central African Republic,Africa,14649,113,6859,7677,2,2938,23,4986136
Chad,Africa,7414,193,4874,2347,,428,11,17303260
Channel Islands,Europe,75275,173,74574,528,,425648,978,176848
Chile,South America,3605522,57722,3468131,79669,159,185643,2972,19421812
China Hong Kong Sar,Asia,1208506,9361,,,5,158800,1230,7610260
China Macao Sar,Asia,82,,82,0,,123,,665819
China,Asia,221804,5209,210454,6141,383,154,4,1439323776
Colombia,South America,6095316,139821,5928829,26666,342,117459,2694,51892950
Comoros,Africa,8100,160,7933,7,,8959,177,904091
Congo,Africa,24079,385,20178,3516,,4172,67,5770949
Cook Islands,Australia/Oceania,5410,1,5291,118,,307491,57,17594
Costa Rica,North America,866164,8444,841683,16037,48,167189,1630,5180753
Cote D Ivoire,Africa,81989,799,81168,22,,2971,29,27594347
Croatia,Europe,1131450,15930,1111405,4115,15,278811,3925,4058130
Cuba,North America,1104589,8529,1095534,526,23,97633,754,11313741
Curacao,North America,43017,275,42203,539,3,260168,1663,165343
Cyprus,Asia,477711,1032,124370,352309,60,390374,843,1223728
Czech Republic,Europe,3915847,40245,3871654,3948,14,364401,3745,10745981
Dem. Rep. Congo,Africa,87023,1337,50930,34756,,920,14,94629737
Denmark,Europe,2976667,6287,2960386,9994,12,510561,1078,5830190
Djibouti,Africa,15631,189,15427,15,,15404,186,1014756
Dominica,North America,12685,63,12323,299,,175403,871,72319
Dominican Republic,North America,580412,4376,575583,453,1,52524,396,11050510
Ecuador,South America,872268,35607,,,759,48080,1963,18141962
Egypt,Africa,515645,24613,442182,48850,122,4868,232,105928386
El Salvador,North America,162089,4129,150662,7298,8,24757,631,6547158
Equatorial Guinea,Africa,15910,183,15701,26,5,10687,123,1488778
Eritrea,Africa,9745,103,9632,10,,2679,28,3637828
